mid,publish_time,user_name,user_link,content,weibo_link,forward_num,comment_num,like_num
4820219930087878,2022-10-02 20:24:09,EstellaSis,https://weibo.com/u/7453350885,臆想啥呢天天的，人家是企业老总，背着案子怎么像JDer交待啊… 那么多眼巴巴的快递员怎么面对老板是个强奸犯，丢人丢到太平洋彼岸… //@CTTCTTCTTC-蓝鸟:大家都开心地笑了//@像眼神一样冷://@亦鸣:东哥：老子用钱摆平了，我老婆都没意见，还要给我生孩子，你们就别bb了。[doge],https://weibo.com/7453350885/M8u0N0mRo,0,0,0
4820207187269198,2022-10-02 19:33:31,对面拿不完的贼,https://weibo.com/u/7317944093,//@CTTCTTCTTC-蓝鸟:大家都开心地笑了//@像眼神一样冷://@亦鸣:东哥：老子用钱摆平了，我老婆都没意见，还要给我生孩子，你们就别bb了。[doge],https://weibo.com/7317944093/M8tGeuv38,0,0,1
4820206293616639,2022-10-02 19:29:58,CTTCTTCTTC-蓝鸟,https://weibo.com/u/2702215627,大家都开心地笑了//@像眼神一样冷://@亦鸣:东哥：老子用钱摆平了，我老婆都没意见，还要给我生孩子，你们就别bb了。[doge],https://weibo.com/2702215627/M8tENfaQT,2,0,0
